FIPS Code,State,County Name,RUCC_2003,RUCC_2013,RUCC_2023,Mean_RUCC
39001,OH,Adams County,6,6,8,7
39003,OH,Allen County,3,3,3,3
39005,OH,Ashland County,4,4,6,5
39007,OH,Ashtabula County,4,4,1,3
39009,OH,Athens County,4,4,4,4
39011,OH,Auglaize County,4,4,4,4
39013,OH,Belmont County,3,3,3,3
39015,OH,Brown County,1,1,1,1
39017,OH,Butler County,1,1,1,1
39019,OH,Carroll County,2,2,2,2
39021,OH,Champaign County,6,6,6,6
39023,OH,Clark County,3,3,3,3
39025,OH,Clermont County,1,1,1,1
39027,OH,Clinton County,6,6,6,6
39029,OH,Columbiana County,4,4,4,4
39031,OH,Coshocton County,6,6,7,6
39033,OH,Crawford County,4,4,4,4
39035,OH,Cuyahoga County,1,1,1,1
39037,OH,Darke County,6,6,6,6
39039,OH,Defiance County,4,4,6,5
39041,OH,Delaware County,1,1,1,1
39043,OH,Erie County,3,4,3,3
39045,OH,Fairfield County,1,1,1,1
39047,OH,Fayette County,6,6,6,6
39049,OH,Franklin County,1,1,1,1
39051,OH,Fulton County,2,2,2,2
39053,OH,Gallia County,6,6,6,6
39055,OH,Geauga County,1,1,1,1
39057,OH,Greene County,2,2,2,2
39059,OH,Guernsey County,6,6,6,6
39061,OH,Hamilton County,1,1,1,1
39063,OH,Hancock County,4,4,4,4
39065,OH,Hardin County,6,6,6,6
39067,OH,Harrison County,6,6,8,7
39069,OH,Henry County,6,6,6,6
39071,OH,Highland County,6,6,6,6
39073,OH,Hocking County,6,1,1,3
39075,OH,Holmes County,7,7,9,8
39077,OH,Huron County,4,4,4,4
39079,OH,Jackson County,7,7,7,7
39081,OH,Jefferson County,3,3,3,3
39083,OH,Knox County,4,4,6,5
39085,OH,Lake County,1,1,1,1
39087,OH,Lawrence County,2,2,2,2
39089,OH,Licking County,1,1,1,1
39091,OH,Logan County,4,6,4,5
39093,OH,Lorain County,1,1,1,1
39095,OH,Lucas County,2,2,2,2
39097,OH,Madison County,1,1,1,1
39099,OH,Mahoning County,2,2,2,2
39101,OH,Marion County,4,4,4,4
39103,OH,Medina County,1,1,1,1
39105,OH,Meigs County,6,6,8,7
39107,OH,Mercer County,7,7,7,7
39109,OH,Miami County,2,2,2,2
39111,OH,Monroe County,8,8,8,8
39113,OH,Montgomery County,2,2,2,2
39115,OH,Morgan County,6,6,8,7
39117,OH,Morrow County,1,1,1,1
39119,OH,Muskingum County,4,4,4,4
39121,OH,Noble County,6,7,9,7
39123,OH,Ottawa County,2,4,3,3
39125,OH,Paulding County,6,6,8,7
39127,OH,Perry County,6,1,1,3
39129,OH,Pickaway County,1,1,1,1
39131,OH,Pike County,7,7,9,8
39133,OH,Portage County,2,2,2,2
39135,OH,Preble County,2,6,6,5
39137,OH,Putnam County,6,6,6,6
39139,OH,Richland County,3,3,3,3
39141,OH,Ross County,4,4,4,4
39143,OH,Sandusky County,4,4,4,4
39145,OH,Scioto County,4,4,4,4
39147,OH,Seneca County,4,4,4,4
39149,OH,Shelby County,4,4,4,4
39151,OH,Stark County,2,2,2,2
39153,OH,Summit County,2,2,2,2
39155,OH,Trumbull County,2,2,2,2
39157,OH,Tuscarawas County,4,4,4,4
39159,OH,Union County,1,1,1,1
39161,OH,Van Wert County,6,6,6,6
39163,OH,Vinton County,9,8,8,8
39165,OH,Warren County,1,1,1,1
39167,OH,Washington County,3,4,4,4
39169,OH,Wayne County,4,4,4,4
39171,OH,Williams County,7,6,7,7
39173,OH,Wood County,2,2,2,2
39175,OH,Wyandot County,7,7,7,7
